FF 51 03 07 A1 20
FF 58 04 04 02 18 08
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79
C0 06
E0 00 40
C1 06
E1 70 3C
C2 06
E2 44 3D
C3 06
E3 10 3E
C4 06
E4 70 3C
C5 06
E5 30 3F
C6 06
E6 20 3C
C7 06
E7 65 3E
C8 06
E8 40 3D
CA 06
EA 20 3C
CB 06
EB 60 3E
CC 06
EC 40 3D
FF 03 07 54 72 61 63 6B 20 31
FF 03 04 4D 49 44 49
90 3C 7F,0.126302083333
80 3C 7F,0.21875
92 3E 7F,0.0169270833333
82 3E 7F,0.21875
94 40 7F,0.015625
84 40 7F,0.21875
95 41 7F,0.015625
85 41 7F,0.231770833333
92 3E 7F,0.00260416666667
82 3E 7F,0.21875
94 40 7F,0.0169270833333
84 40 7F,0.231770833333
90 3C 7F,0.00260416666667
80 3C 7F,0.21875
97 43 7F,0.015625
90 30 7F,0.234375
87 43 7F,0.204427083333
80 30 7F,0.0247395833333
90 48 7F,0.00651041666667
92 32 7F
82 32 7F,0.229166666667
94 34 7F,0.00520833333333
80 48 7F,0.204427083333
84 34 7F,0.0247395833333
90 48 7F,0.00520833333333
95 35 7F
80 48 7F,0.11328125
9C 47 7F,0.00390625
85 35 7F,0.111979166667
8C 47 7F,0.00260416666667
9A 45 7F,0.00260416666667
92 32 7F
8A 45 7F,0.11328125
9C 47 7F,0.00390625
82 32 7F,0.111979166667
8C 47 7F,0.00260416666667
90 48 7F,0.00390625
94 34 7F
84 34 7F,0.229166666667
90 30 7F,0.00520833333333
80 30 7F,0.229166666667
80 48 7F,0.00260416666667
92 4A 7F,0.00260416666667
97 37 7F
82 4A 7F,0.231770833333
97 43 7F,0.00260416666667
87 43 7F,0.21875
9A 45 7F,0.0169270833333
97 2B 7F
8A 45 7F,0.21875
9C 47 7F,0.015625
8C 47 7F,0.21875
87 37 7F,0.00520833333333
90 48 7F,0.0104166666667
