FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
E0 00 40,C major
C1 06,C major
E1 70 3C,C major
C2 06,C major
E2 44 3D,C major
C3 06,C major
E3 10 3E,C major
C4 06,C major
E4 70 3C,C major
C5 06,C major
E5 30 3F,C major
C6 06,C major
E6 20 3C,C major
C7 06,C major
E7 65 3E,C major
C8 06,C major
E8 40 3D,C major
CA 06,C major
EA 20 3C,C major
CB 06,C major
EB 60 3E,C major
CC 06,C major
EC 40 3D,C major
FF 03 07 54 72 61 63 6B 20 31,C major
FF 03 04 4D 49 44 49,C major
90 3C 7F,C major,0.126302083333
80 3C 7F,C major,0.21875
92 3E 7F,C major,0.0169270833333
82 3E 7F,C major,0.21875
94 40 7F,C major,0.015625
84 40 7F,C major,0.21875
95 41 7F,C major,0.015625
85 41 7F,C major,0.231770833333
92 3E 7F,C major,0.00260416666667
82 3E 7F,C major,0.21875
94 40 7F,C major,0.0169270833333
84 40 7F,C major,0.231770833333
90 3C 7F,C major,0.00260416666667
80 3C 7F,C major,0.21875
97 43 7F,C major,0.015625
90 30 7F,C major,0.234375
87 43 7F,C major,0.204427083333
80 30 7F,C major,0.0247395833333
90 48 7F,C major,0.00651041666667
92 32 7F,C major
82 32 7F,C major,0.229166666667
94 34 7F,C major,0.00520833333333
80 48 7F,C major,0.204427083333
84 34 7F,C major,0.0247395833333
90 48 7F,C major,0.00520833333333
95 35 7F,C major
80 48 7F,C major,0.11328125
9C 47 7F,C major,0.00390625
85 35 7F,C major,0.111979166667
8C 47 7F,C major,0.00260416666667
9A 45 7F,C major,0.00260416666667
92 32 7F,C major
8A 45 7F,C major,0.11328125
9C 47 7F,C major,0.00390625
82 32 7F,C major,0.111979166667
8C 47 7F,C major,0.00260416666667
90 48 7F,C major,0.00390625
94 34 7F,C major
84 34 7F,C major,0.229166666667
90 30 7F,C major,0.00520833333333
80 30 7F,C major,0.229166666667
80 48 7F,C major,0.00260416666667
92 4A 7F,C major,0.00260416666667
97 37 7F,C major
82 4A 7F,C major,0.231770833333
97 43 7F,C major,0.00260416666667
87 43 7F,C major,0.21875
9A 45 7F,C major,0.0169270833333
97 2B 7F,C major
8A 45 7F,C major,0.21875
9C 47 7F,C major,0.015625
8C 47 7F,C major,0.21875
